,title,date,stock
94,Shares of several healthcare companies are trading higher after President Trump made positive remarks on the U.S.-China trade talks as traders grew more optimistic over the possibility of a limited trade deal. Trump is scheduled to meet with Chinese Vice Premier Liu He at the White House today.,2019-10-11 11:19:00-04:00,A
95,"Barclays Maintains Equal-Weight on Agilent Technologies, Lowers Price Target to $76",2019-10-09 08:10:00-04:00,A
96,Shares of several healthcare companies are trading lower with the broader market after the US expanded its trade blacklist to include China's top AI firms. The US also will increase its tariffs on $250 billion worth of goods from 25% to 30% on Oct 15.,2019-10-08 10:36:00-04:00,A
97,Shares of several healthcare companies are trading lower in sympathy with the overall market on continued fears of a recession amid a weak ADP jobs report. There is also uncertainty in the market over the upcoming U.S.-China meeting next week.,2019-10-02 10:33:00-04:00,A
98,Shares of several healthcare companies are trading higher in sympathy with the overall market after the Chinese Minister of Commerce said the leaders of the U.S. and China are set to meet in Washington D.C in early October. Investors hope the meeting could bring the two countries closer to a trade deal.,2019-09-05 15:34:00-04:00,A
99,Agilent Collaborates On Study Of Performance-Enhancing Spinach Extract,2019-09-03 08:07:00-04:00,A
100,"Top 10 Movers Via Benzinga Pro's Screener Tool For Morning of Friday., August 16, 2019",2019-08-16 09:53:00-04:00,A
101,75 Biggest Movers From Yesterday,2019-08-16 05:16:00-04:00,A
102,46 Stocks Moving In Thursday's Mid-Day Session,2019-08-15 12:44:00-04:00,A
103,Agilent Technologies shares are trading higher after the company reported better-than-expected Q3 EPS and sales results. The company also issued FY19 EPS above analyst estimates.,2019-08-15 09:40:00-04:00,A
104,A Peek Into The Markets: US Stock Futures Tumble Ahead Of Economic Data,2019-08-15 06:52:00-04:00,A
105,"10 Stocks To Watch For August 15, 2019",2019-08-15 05:20:00-04:00,A
106,Agilent Technologies shares are trading higher after the company reported better-than-expected Q3 EPS and sales results. The company also issued FY19 EPS above analyst estimates.,2019-08-14 16:20:00-04:00,A
107,"Agilent Technologies Sees Q4 Adj. EPS $0.84-$0.86 vs $0.87 Est., Sales $1.31B-$1.33B vs $1.34B Est., Sees FY19 Adj. EPS $3.07-$3.08 vs $3.05 Est., Sales $5.105B-$5.125B vs $5.11B Est.",2019-08-14 16:07:00-04:00,A
108,"Agilent Technologies Q3 Adj. EPS $0.76 Beats $0.72 Estimate, Sales $1.27B Beat $1.24B Estimate",2019-08-14 16:05:00-04:00,A
109,Q3 Earnings Preview For Agilent Technologies,2019-08-14 07:18:00-04:00,A
110,"Earnings Scheduled For August 14, 2019",2019-08-14 05:13:00-04:00,A
111,"Shares of diagnostics and research companies are trading higher in sympathy with Syneos Health, which reported strong Q2 results and raised FY19 guidance.",2019-08-06 13:54:00-04:00,A
112,Shares of several gold companies are trading higher amid heightened US-China trade tensions. Concerns of a trade war have led investors into 'safe-haven' assets such as gold.,2019-08-05 09:41:00-04:00,A
113,Agilent Announces Settlement of Key Intellectual Property Case in China,2019-08-01 03:26:00-04:00,A
114,Agilent Shares Unaffected As Hearing FDA Approved Co.'s PD-L1 IHC 22C3 PharmDx Assay For Expanded Use,2019-07-31 14:20:00-04:00,A
115,"Benzinga Pro's Top 10 Most-Searched Tickers For Morning of Tuesday, July 16, 2019",2019-07-16 10:25:00-04:00,A
116,"Benzinga's Top Upgrades, Downgrades For July 16, 2019",2019-07-16 09:05:00-04:00,A
117,Bank of America Downgrades Agilent Technologies to Neutral,2019-07-16 07:02:00-04:00,A
118,"Barclays Downgrades Agilent Technologies to Equal-Weight, Lowers Price Target to $78",2019-07-15 06:48:00-04:00,A
119,Agilent Will Acquire BioTek Instruments In $1.16B Deal,2019-07-11 08:16:00-04:00,A
120,Agilent To Purchase BioTek Instruments For $1.165B,2019-07-11 08:00:00-04:00,A
121,"Benzinga's Top Upgrades, Downgrades For June 11, 2019",2019-06-11 09:19:00-04:00,A
122,Agilent Companion Diagnostic Receives Expanded FDA Approval For PD-L1 IHC 22C3 PharmDx,2019-06-11 07:58:00-04:00,A
123,"Piper Jaffray Initiates Coverage On Agilent Technologies with Overweight Rating, Announces $83 Price Target",2019-06-11 07:10:00-04:00,A
124,"Shares of many Healthcare companies are trading higher as markets rebound from the recent volatility caused by uncertainty regarding US-China trade talks. Also, lawmakers were not able to pass a bill that would end 'surprise medical bills'.",2019-05-16 15:09:00-04:00,A
125,60 Biggest Movers From Yesterday,2019-05-16 05:12:00-04:00,A
126,44 Stocks Moving In Wednesday's Mid-Day Session,2019-05-15 12:56:00-04:00,A
127,"Benzinga Pro's Top 10 Most-Searched Tickers For Morning of Wed., May 15, 2019",2019-05-15 09:58:00-04:00,A
128,"Bank of America Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $82",2019-05-15 09:13:00-04:00,A
129,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also announced weak Q3 sales guidance.,2019-05-15 09:06:00-04:00,A
130,"Deutsche Bank Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $85",2019-05-15 08:39:00-04:00,A
131,"Barclays Maintains Overweight on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $86",2019-05-15 08:28:00-04:00,A
132,"A Peek Into The Markets: US Stock Futures Down Ahead Of Macy's Earnings, Economic Data",2019-05-15 07:08:00-04:00,A
133,"8 Stocks To Watch For May 15, 2019",2019-05-15 05:00:00-04:00,A
134,5 Stocks Moving In Tuesday's After-Hours Session,2019-05-14 17:06:00-04:00,A
135,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also issued Q3 sales guidance below analyst estimates.,2019-05-14 16:08:00-04:00,A
136,"Agilent Technologies Sees Q3 Adj. EPS $0.71-$0.73 vs $0.73 Est., Sales $1.225B-$1.245B vs $1.27B Est. Sees FY19 Adj. EPS $3.03-$3.07 vs $3.07 Est., Sales $5.085B-$5.125B vs $5.19B Est.",2019-05-14 16:07:00-04:00,A
137,"Agilent Technologies Q2 Adj. EPS $0.71 Misses $0.72 Estimate, Sales $1.24B Miss $1.27B Estimate",2019-05-14 16:06:00-04:00,A
138,"Shares of several healthcare companies are trading higher as the US market rebounds from recent weakness, driven by renewed cautious optimism surrounding US-China trade talks.",2019-05-14 13:32:00-04:00,A
139,"6 Stocks To Watch For May 14, 2019",2019-05-14 05:10:00-04:00,A
140,"Earnings Scheduled For May 14, 2019",2019-05-14 04:57:00-04:00,A
141,Shares of several healthcare companies are trading lower in sympathy with the overall market. The S&P 500 is trading lower 1%,2019-05-10 13:09:00-04:00,A
142,10 Biggest Price Target Changes For Tuesday,2019-03-26 09:47:00-04:00,A
143,"Cowen & Co. Maintains Outperform on Agilent Technologies, Raises Price Target to $90",2019-03-26 07:52:00-04:00,A
144,"Benzinga's Top Upgrades, Downgrades For March 15, 2019",2019-03-15 09:19:00-04:00,A
145,"UBS Initiates Coverage On Agilent Technologies with Buy Rating, Announces $92 Price Target",2019-03-15 07:50:00-04:00,A
146,"Barclays Maintains Overweight on Agilent Technologies, Raises Price Target to $83",2019-02-21 08:00:00-05:00,A
147,"UPDATE: Agilent Raises FY19 Adj. EPS Guidance From $3-$3.05 To $3.03-$3.07 vs $3.05 Estimate, Sales From $5.13B-$5.17B To $5.15B-$5.19B vs $5.17B Est.",2019-02-20 16:07:00-05:00,A
148,"Agilent Sees Q2 Adj. EPS $0.70-$0.72 vs $0.72 Estimate, Sales $1.255B-$1.27B vs $1.27B Est.; Raises FY19 Guidance",2019-02-20 16:06:00-05:00,A
149,"Agilent Technologies Q1 EPS $0.76 Beats $0.73 Estimate, Sales $1.284B Beat $1.27B Estimate",2019-02-20 16:05:00-05:00,A
150,"10 Stocks To Watch For February 20, 2019",2019-02-20 04:33:00-05:00,A
151,"Earnings Scheduled For February 20, 2019",2019-02-20 04:04:00-05:00,A
152,"JANA 13F Shows Liquidated Stakes In Alibaba, Agilent, US Steel, SVMK, Electronic Arts, Dollar Tree",2019-02-14 09:36:00-05:00,A
153,8 Biggest Price Target Changes For Tuesday,2019-02-12 09:57:00-05:00,A
154,"Deutsche Bank Maintains Buy on Agilent Technologies, Raises Price Target to $85",2019-02-12 08:34:00-05:00,A
155,Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74,2019-01-29 10:23:00-05:00,A
156,"Needham Initiates Coverage On Agilent Technologies with Buy Rating, Announces $77 Price Target",2019-01-03 07:42:00-05:00,A
157,50 Biggest Movers From Yesterday,2018-11-21 05:49:00-05:00,A
158,36 Stocks Moving In Tuesday's Mid-Day Session,2018-11-20 12:34:00-05:00,A
159,Shares of Agilent Technologies are trading up 6% after the company beat Q4 Earnings estimates and issued upbeat FY19 guidance.,2018-11-20 11:53:00-05:00,A
160,"Morgan Stanley Maintains Overweight on Agilent Technologies, Raises Price Target to $89",2018-11-20 10:27:00-05:00,A
161,26 Stocks Moving In Tuesday's Pre-Market Session,2018-11-20 08:00:00-05:00,A
162,"10 Stocks To Watch For November 20, 2018",2018-11-20 04:43:00-05:00,A
163,6 Stocks Moving In Monday's After-Hours Session,2018-11-19 17:51:00-05:00,A
164,"Agilent Sees Q1 Adj. EPS $0.71-$0.73 vs $0.72 Estimate, Sales $1.265B-$1.28B vs $1.27B Est.",2018-11-19 16:06:00-05:00,A
165,"Agilent Sees FY19 Adj. EPS $3-$3.05 vs $2.96 Estimate, Sales $5.13B-$5.17B vs $5.18B Est.",2018-11-19 16:05:00-05:00,A
166,"Agilent Technologies, Inc. Q4 EPS $0.81 Beats $0.74 Estimate, Sales $1.29B Beat $1.25B Estimate",2018-11-19 16:05:00-05:00,A
167,"8 Stocks To Watch For November 19, 2018",2018-11-19 05:11:00-05:00,A
168,"Earnings Scheduled For November 19, 2018",2018-11-19 04:50:00-05:00,A
169,13F From JANA Shows Cut Stake In Agilent,2018-11-14 09:38:00-05:00,A
170,Agilent Highlights Letter To SEC Related To Material Misstatements In Twist Bioscience's S-1,2018-10-29 12:40:00-04:00,A
171,"Morgan Stanley Maintains Overweight on Agilent Technologies, Raises Price Target to $86",2018-10-10 07:47:00-04:00,A
172,A Peek Into The Markets: US Stock Futures Up; All Eyes On Fed Decision,2018-09-26 06:59:00-04:00,A
173,Agilent Technologies To Acquire ACEA Biosciences; Financial Terms Not Disclosed,2018-09-26 06:02:00-04:00,A
174,Agilent to Acquire ACEA Biosciences for $250M in Cash,2018-09-26 04:39:00-04:00,A
175,"A Life Science Tools And Diagnostics Pair Trade: Goldman Recommends Buying Agilent, Moving to Sidelines On Thermo Fisher",2018-09-17 13:52:00-04:00,A
176,"Agilent Companion Diagnostic Gains Expanded FDA Approval in Urothelial Carcinoma, PD-L1 IHC 22C3 pharmDx Now Approved to Identify Certain Urothelial Carcinoma Patients for Treatment With KEYTRUDA",2018-08-21 11:00:00-04:00,A
177,"Deutsche Bank Maintains Buy on Agilent Technologies, Raises Price Target to $80",2018-08-15 08:48:00-04:00,A
178,30 Stocks Moving In Wednesday's Pre-Market Session,2018-08-15 08:11:00-04:00,A
179,"Morgan Stanley Maintains Overweight on Agilent Technologies, Raises Price Target to $84",2018-08-15 07:33:00-04:00,A
180,A Peek Into The Markets: US Stock Futures Tumble Ahead Of Economic Reports,2018-08-15 07:14:00-04:00,A
181,"10 Stocks To Watch For August 15, 2018",2018-08-15 05:13:00-04:00,A
182,"Agilent Technologies Q3 Adj. EPS $0.67 Beats $0.63 Estimate, Sales $1.203B Beat $1.2B Estimate",2018-08-14 16:43:00-04:00,A
183,"13F Filing From Tiger Global Shows Dissolved Stake In Activision, Agilent, Altria, and American Express",2018-08-14 15:05:00-04:00,A
184,Jana Partners 13F shows Increased Stake In Agilent Technologies From ~1.02M Shares To ~1.22M Shares,2018-08-14 10:24:00-04:00,A
185,Agilent Technologies Q3 Earnings Preview,2018-08-14 07:27:00-04:00,A
186,"Earnings Scheduled For August 14, 2018",2018-08-14 04:32:00-04:00,A
187,"10 Stocks To Watch For August 14, 2018",2018-08-14 04:05:00-04:00,A
188,"Agilent Announces CFO Didier Hirsch To Retire October 31, Robert McMahon To Become CFO",2018-07-31 16:02:00-04:00,A
189,Waters Has Limited Upside Potential To Growth Expectations; Janney Steps to The Sidelines,2018-07-17 12:55:00-04:00,A
190,"Agilent, Nanyang Technological University Singapore to Develop Novel Approaches for Water Analysis",2018-07-09 03:42:00-04:00,A
191,Agilent Companion Diagnostic Gains Expanded FDA Approval In Cervical Cancer,2018-06-12 16:47:00-04:00,A
192,"Agilent to Acquire Assets of Ultra Scientific, No Financial Terms Disclosed",2018-05-30 16:30:00-04:00,A
193,"Agilent, University of Duisburg-Essen Announce Collaboration Agreement",2018-05-24 11:02:00-04:00,A
194,Agilent Signs Agreement to Acquire Assets from Young in Scientific Co. Ltd.; Financial Terms Not Disclosed,2018-05-23 03:52:00-04:00,A
195,"Pot Stocks, ETFs, Top News And Data From The Cannabis Industry This Week",2018-05-18 17:14:00-04:00,A
196,45 Biggest Movers From Yesterday,2018-05-16 06:01:00-04:00,A
197,37 Stocks Moving In Tuesday's Mid-Day Session,2018-05-15 12:32:00-04:00,A
198,Cowen & Co. Upgrades Agilent Technologies to Outperform,2018-05-15 10:50:00-04:00,A
199,Traders Circulating Chatter That Cowen Upgraded Agilent,2018-05-15 10:31:00-04:00,A
200,25 Stocks Moving In Tuesday's Pre-Market Session,2018-05-15 08:06:00-04:00,A
201,10 Stocks Moving In Monday's After-Hours Session,2018-05-14 17:45:00-04:00,A
202,Agilent Technologies Shares Down 6.5% After Hours Following Mixed Q2 Results; Co. Reaffirmed Downbeat Q3 And FY18 Guidance Estimates,2018-05-14 16:41:00-04:00,A
203,"Agilent Technologies Reaffirms FY2018 EPS ~$2.65 vs $2.70 Est., Core Sales Growth 5.5%",2018-05-14 16:06:00-04:00,A
204,Agilent Technologies Sees Q3 EPS $0.61-0.63 vs $0.65 Est; Sees Sales $1.19B-1.21B vs $1.21B Est,2018-05-14 16:06:00-04:00,A
205,"Agilent Technologies Q2 EPS $0.65 Beats $0.64 Estimate, Sales $1.206B Miss $1.21B Estimate",2018-05-14 16:05:00-04:00,A
206,"The Week Ahead: Coindesk Conference, Walmart And Retailers Close Out Earnings Season",2018-05-14 12:46:00-04:00,A
207,"7 Stocks To Watch For May 14, 2018",2018-05-14 05:19:00-04:00,A
208,"Earnings Scheduled For May 14, 2018",2018-05-14 05:06:00-04:00,A
209,"Agilent Reports Purchase Of Genohm, No Terms Disclosed",2018-05-02 16:35:00-04:00,A
210,Agilent Technologies Files Second Civil Action Against Changzhou Pannatek to 'Protect Intellectual Property',2018-04-18 11:07:00-04:00,A
211,"Morgan Stanley Maintains Overweight on Agilent Technologies, Lowers Price Target to $91.00",2018-04-11 07:32:00-04:00,A
212,"UPDATE: Alnylam, Agilent Deal Has Initial Term Of 5 Years, With Automatic Renewal Terms OF 2 Years Absent Earlier Termination, No Further Terms Disclosed",2018-04-03 16:43:00-04:00,A
213,Alnylam Pharma 8-K Shows Co. Entered Manufacturing Services Deal With Agilent For Providing Of Commercial Supply Of Patisiran,2018-04-03 16:42:00-04:00,A
214,Agilent Technologies Signs Agreement To Acquire Lasergen For $105M,2018-04-03 16:31:00-04:00,A
215,Agilent Technologies to Acquire Advanced Analytical Technologies for $250M in Cash,2018-03-07 19:46:00-05:00,A
216,"Bank Of America Out Positive On Agilent, Raises Price Target From $80 To $83 As Frim Says Core Business Continues To Do Well, Led By C&E Strength And Pharma; Remains A Focus Stock For Bank of America",2018-02-15 10:42:00-05:00,A
217,"JP Morgan Maintains Overweight on Agilent Technologies Inc, Raises price target to $80.00",2018-02-15 09:58:00-05:00,A
218,"Agilent Sees Q2 Adj. EPS $0.61-$0.63 vs $0.64 Est., Sales $1.2B-$1.22B vs $1.17B Est.; FY18 Adj. EPS $2.62-$2.68 vs $2.59 Est., Sales $4.885B-$4.905B vs $5.04B Est.",2018-02-14 16:44:00-05:00,A
219,"Agilent Reports Q1 Adj. EPS $0.66 vs $0.58 Est., Sales $1.21B vs $1.16B Est.",2018-02-14 16:43:00-05:00,A
220,"Earnings Scheduled For February 14, 2018",2018-02-14 04:07:00-05:00,A
221,Phillips 66 Says it Has Agreed to Repurchase 35M Shares of Phillips 66 Common Stock from Wholly-owned Subsidiary of Berkshire Hathaway,2018-02-13 19:00:00-05:00,A
222,Agilent Reports Scientific Partnership with the University of Southern California,2018-01-29 11:00:00-05:00,A
223,The 10 Most Expensive Stocks In The S&P 500,2018-01-23 13:23:00-05:00,A
224,"JP Morgan Healthcare Conference Continues Today, Presenters Include: Bluebird Bio, Agilent, Insulet, Cigna, DexCom, Eli Lilly, LifePoint, Acadia, Alkermes, Juno Therapeutics",2018-01-09 09:02:00-05:00,A
